,genre
994,
995,men chika
996,emo rap
996,miami hip hop
997,lo-fi beats
998,japanese vgm
999,
1000,lo-fi beats
1001,
1002,emo rap
1002,miami hip hop
1003,
1004,
1005,avant-garde metal
1005,breakcore
1005,cybergrind
1005,french metal
1005,opera metal
1006,
1007,
1008,
1009,
1010,avant-garde metal
1010,breakcore
1010,cybergrind
1010,french metal
1010,opera metal
1011,avant-garde metal
1011,breakcore
1011,cybergrind
1011,french metal
1011,opera metal
1012,avant-garde metal
1012,breakcore
1012,cybergrind
1012,french metal
1012,opera metal
1013,modern alternative rock
1013,modern rock
1013,pop
1014,contemporary country
1014,country
1014,country road
1014,modern country rock
1015,dfw rap
1015,melodic rap
1015,rap
1016,pop rap
1016,seattle hip hop
1017,alt z
1017,dance pop
1017,gen z singer-songwriter
1017,pop
1017,uk pop
1018,dance pop
1018,pop
1019,alternative dance
1019,art pop
1019,dance pop
1019,electronica
1019,electropop
1019,neo-synthpop
1019,new rave
1020,k-pop
1020,k-pop girl group
1021,dutch hip hop
1021,tropical house
1022,k-pop
1022,k-pop boy group
1023,brazilian edm
1023,slap house
1024,dance pop
1024,edm
1024,pop
1024,pop dance
1024,tropical house
1024,uk dance
1024,uk funky
1025,big room
1025,brostep
1025,dance pop
1025,dutch edm
1025,edm
1025,house
1025,pop
1025,pop dance
1025,slap house
1025,trance
1025,tropical house
1026,dance pop
1026,pop
1026,pop rap
1026,post-teen pop
1027,dance pop
1027,pop
1027,pop dance
1027,tropical house
1027,uk dance
1028,dance pop
1028,danish electronic
1028,deep house
1028,edm
1028,electro house
1028,pop
1028,pop dance
1028,pop edm
1028,tropical house
1029,modern alternative rock
1029,modern rock
1029,pop
1030,alternative dance
1030,art pop
1030,dance pop
1030,electronica
1030,electropop
1030,neo-synthpop
1030,new rave
1031,dance pop
1031,dutch edm
1031,edm
1031,electro house
1031,pop
1031,pop dance
1031,progressive house
1031,tropical house
1032,dance pop
1032,edm
1032,electro house
1032,moombahton
1032,pop
1032,pop dance
1032,pop rap
1032,tropical house
1033,big room
1033,brostep
1033,dance pop
1033,dutch edm
1033,edm
1033,house
1033,pop
1033,pop dance
1033,slap house
1033,trance
1033,tropical house
1034,dance pop
1034,pop
1034,pop rap
1034,post-teen pop
1035,dance pop
1035,pop
1035,pop rap
1035,post-teen pop
1036,dfw rap
1036,melodic rap
1036,rap
1037,dance pop
1037,pop
1037,pop dance
1037,tropical house
1037,uk dance
1038,deep house
1038,pop dance
1038,pop edm
1038,tropical house
1039,otacore
1040,pop
1040,uk pop
1041,dance pop
1041,edm
1041,electropop
1041,pop
1041,pop dance
1041,post-teen pop
1041,scandipop
1041,swedish electropop
1041,swedish pop
1041,tropical house
1042,dance pop
1042,electropop
1042,pop
1042,post-teen pop
1043,pop
1043,uk pop
1044,dance pop
1044,hip pop
1044,pop
1044,post-teen pop
1045,pop rap
1045,seattle hip hop
1046,pop rap
1046,seattle hip hop
1047,dance pop
1047,edm
1047,house
1047,pop
1047,pop dance
1047,tropical house
1047,uk dance
1047,uk funky
1048,dance pop
1048,edm
1048,house
1048,pop
1048,pop dance
1048,tropical house
1048,uk dance
1048,uk funky
1049,dance pop
1049,edm
1049,pop
1049,pop dance
1049,tropical house
1049,uk dance
1049,uk funky
1050,contemporary country
1050,country
1050,country road
1050,modern country rock
1051,destroy techno
1051,edm
1051,electro house
1051,house
1051,pop dance
1051,progressive house
1051,tropical house
1052,dance pop
1052,dutch edm
1052,edm
1052,electro house
1052,pop
1052,pop dance
1052,progressive house
1052,tropical house
1053,dance pop
1053,electropop
1053,pop
1053,post-teen pop
1054,dance pop
1054,edm
1054,electro house
1054,pop
1054,pop dance
1054,tropical house
1055,k-pop
1056,k-pop
1056,k-pop boy group
1057,k-pop
1058,k-pop
1058,k-pop boy group
1059,k-pop
1059,k-pop boy group
1060,k-pop
1060,k-pop boy group
1061,k-pop
1061,k-pop boy group
1062,canadian old school hip hop
1062,pop rap
1062,toronto rap
1063,dance pop
1063,edm
1063,electro house
1063,pop
1063,pop dance
1063,tropical house
1064,otacore
1065,junior eurovision
1065,variete francaise
1066,
1067,modern alternative rock
1067,rebel blues
1068,junior eurovision
1068,variete francaise
1069,k-pop
1069,k-pop boy group
1070,rebel blues
1071,k-pop
1071,k-pop girl group
1072,indonesian viral pop
1073,dance pop
1073,pop
1074,destroy techno
1074,edm
1074,electro house
1074,house
1074,pop dance
1074,progressive house
1074,tropical house
1075,dutch hip hop
1075,tropical house
1076,k-pop
1076,korean ost
1077,glam rock
1077,mellow gold
1077,piano rock
1078,dfw rap
1078,melodic rap
1078,rap
1079,k-pop
1079,k-pop girl group
1080,rebel blues
1081,detroit hip hop
1081,hip hop
1081,rap
1082,dance pop
1082,pop
1082,pop rap
1082,post-teen pop
1083,rebel blues
1084,rebel blues
1085,rebel blues
1086,rebel blues
1087,junior eurovision
1087,variete francaise
1088,bedroom pop
1088,indie pop
1088,pop
1089,pop
1089,uk pop
1090,big room
1090,brostep
1090,dance pop
1090,dutch edm
1090,edm
1090,house
1090,pop
1090,pop dance
1090,slap house
1090,trance
1090,tropical house
1091,pop
1091,uk pop
1092,pop
1092,uk pop
1093,dance pop
1093,pop
1093,pop dance
1093,post-teen pop
1093,tropical house
1093,uk pop
1094,texas country
1095,dance pop
1095,edm
1095,electro house
1095,new french touch
1095,pop
1095,pop dance
1095,tropical house
1096,dutch hip hop
1096,tropical house
1097,alternative dance
1097,new french touch
1097,norwegian pop
1098,alt z
1098,indie poptimism
1098,modern alternative rock
1098,modern rock
1099,alt z
1099,indie poptimism
1099,modern alternative rock
1099,modern rock
1100,edm
1100,electro house
1100,pop dance
1100,pop edm
1100,progressive electro house
1100,tropical house
1101,k-pop
1101,k-pop boy group
1102,k-pop
1102,k-pop boy group
1103,central asian hip hop
1103,kazakh hip hop
1103,russian dance
1103,russian hip hop
1103,russian pop
1104,chinese manyao
1104,chinese viral pop
1105,dance pop
1105,pop
1105,pop rap
1105,r&b
1105,rap
1106,edm
1107,dance pop
1107,girl group
1107,pop
1107,post-teen pop
1107,talent show
1107,uk pop
1108,aesthetic rap
1108,dark trap
1108,meme rap
1108,oc rap
1108,scream rap
1108,underground hip hop
1109,modern rock
1110,dance pop
1110,electropop
1110,pop
1110,post-teen pop
1111,dance pop
1111,girl group
1111,pop
1111,post-teen pop
1111,talent show
1111,viral pop
1112,k-pop
1112,k-pop girl group
1113,rebel blues
1114,k-pop
1114,k-pop boy group
1115,dance pop
1115,electropop
1115,idol
1115,post-teen pop
1116,anime rock
1116,japanese electropop
1117,k-pop
1117,k-pop boy group
1118,k-pop
1118,k-pop boy group
1119,dance pop
1119,pop
1119,post-teen pop
1120,art pop
1120,dance pop
1120,electropop
1120,metropopolis
1120,pop
1120,post-teen pop
1120,swedish electropop
1120,swedish pop
1120,swedish synthpop
1121,k-pop
1122,k-pop
1122,k-pop girl group
1123,touhou
1124,touhou
1125,touhou
1126,touhou
1127,touhou
1128,touhou
1129,touhou
1130,indie canario
1131,indie canario
1132,touhou
1133,touhou
1134,touhou
1135,touhou
1136,touhou
1137,touhou
1138,touhou
1139,touhou
1140,touhou
1141,touhou
1142,touhou
1143,alternative metal
1143,nu metal
1143,post-grunge
1143,rap metal
1144,touhou
1145,touhou
1146,touhou
1147,touhou
1148,touhou
1149,touhou
1150,touhou
1151,touhou
1152,touhou
1153,touhou
1154,touhou
1155,touhou
1156,touhou
1157,touhou
1158,touhou
1159,touhou
1160,touhou
1161,touhou
1162,touhou
1163,doujin
1163,j-core
1163,japanese progressive house
1163,touhou
1164,touhou
1165,touhou
1166,touhou
1167,alternative r&b
1167,canadian contemporary r&b
1167,chill r&b
1167,pop
1168,indie canario
1169,touhou
1170,indie canario
1171,touhou
1172,indie canario
1173,indie canario
1174,denpa-kei
1174,kawaii future bass
1174,touhou
1175,touhou
1176,doujin
1176,j-core
1176,japanese progressive house
1176,touhou
1177,japanese vgm
1177,touhou
1178,japanese vgm
1178,touhou
1179,japanese vgm
1179,touhou
1180,japanese vgm
1180,touhou
1181,japanese vgm
1181,touhou
1182,japanese vgm
1182,touhou
1183,japanese vgm
1183,touhou
1184,japanese vgm
1184,touhou
1185,japanese vgm
1185,touhou
1186,
1187,bass house
1187,edm
1187,electro house
1187,electronic trap
1188,bass house
1188,edm
1188,electro house
1188,electronic trap
1189,japanese vgm
1189,touhou
1190,doujin
1190,touhou
1191,touhou
1192,touhou
1193,denpa-kei
1193,doujin
1193,touhou
1194,denpa-kei
1194,doujin
1194,touhou
1195,denpa-kei
1195,doujin
1195,touhou
1196,touhou
1197,touhou
1198,touhou
1199,touhou
1200,vapor trap
1200,viral rap
1201,touhou
1202,touhou
1203,
1204,latin
1204,latin arena pop
1204,latin pop
1204,mexican pop
1205,
1206,touhou
1207,vocaloid
1208,conscious hip hop
1208,hip hop
1208,north carolina hip hop
1208,rap
1209,touhou
1210,vapor trap
1210,viral rap
1211,touhou
1212,chinese electropop
1212,chinese idol pop
1212,k-pop
1213,canadian pop
1213,candy pop
1213,dance pop
1213,pop
1213,post-teen pop
1214,touhou
1215,touhou
1216,touhou
1217,touhou
1218,touhou
1219,touhou
1220,touhou
1221,touhou
1222,touhou
1223,touhou
1224,touhou
1225,touhou
1226,touhou
1227,touhou
1228,touhou
1229,touhou
1230,touhou
1231,alternative r&b
1231,canadian contemporary r&b
1231,chill r&b
1231,pop
1232,touhou
1233,touhou
1234,touhou
1235,touhou
1236,touhou
1237,touhou
1238,touhou
1239,touhou
1240,touhou
1241,touhou
1242,touhou
1243,touhou
1244,
1245,touhou
1246,touhou
1247,japanese vgm
1247,touhou
1248,japanese vgm
1248,touhou
1249,touhou
1250,touhou
1251,japanese vgm
1251,touhou
1252,canadian pop
1252,candy pop
1252,dance pop
1252,pop
1252,post-teen pop
1253,touhou
1254,touhou
1255,touhou
1256,touhou
1257,touhou
1258,denpa-kei
1258,doujin
1258,touhou
1259,touhou
1260,touhou
1261,touhou
1262,touhou
1263,touhou
1264,denpa-kei
1264,doujin
1264,touhou
1265,touhou
1266,touhou
1267,touhou
1268,anime rap
1268,social media pop
1269,touhou
1270,indie canario
1271,touhou
1272,canadian pop
1272,candy pop
1272,dance pop
1272,pop
1272,post-teen pop
1273,
1274,denpa-kei
1274,doujin
1274,touhou
1275,chinese electropop
1275,chinese idol pop
1275,k-pop
1276,canadian pop
1276,candy pop
1276,dance pop
1276,pop
1276,post-teen pop
1277,touhou
1278,touhou
1279,k-pop
1279,k-pop girl group
1280,hip hop
1280,pop
1280,portland hip hop
1280,rap
1280,underground hip hop
1281,junior eurovision
1281,variete francaise
1282,bedroom pop
1282,indie pop
1282,pop
1283,touhou
1284,touhou
1285,indie canario
1286,indie canario
1287,touhou
1288,denpa-kei
1288,doujin
1288,touhou
1289,touhou
1290,touhou
1291,touhou
1292,touhou
1293,japanese vgm
1293,touhou
1294,canadian pop
1294,candy pop
1294,dance pop
1294,pop
1294,post-teen pop
1295,japanese vgm
1295,touhou
1296,canadian pop
1296,candy pop
1296,dance pop
1296,pop
1296,post-teen pop
1297,touhou
1298,touhou
1299,touhou
1300,touhou
1301,
1302,
1303,denpa-kei
1303,doujin
1303,touhou
1304,denpa-kei
1304,doujin
1304,touhou
1305,chinese electropop
1305,chinese idol pop
1305,k-pop
1306,chinese electropop
1306,chinese idol pop
1306,k-pop
1307,japanese vgm
1307,touhou
1308,canadian pop
1308,candy pop
1308,dance pop
1308,pop
1308,post-teen pop
1309,touhou
1310,touhou
1311,touhou
1312,touhou
1313,touhou
1314,touhou
1315,touhou
1316,touhou
1317,touhou
1318,touhou
1319,touhou
1320,touhou
1321,dance pop
1321,edm
1321,pop
1321,pop dance
1321,tropical house
1321,uk dance
1321,uk funky
1322,touhou
1323,touhou
1324,touhou
1325,alternative r&b
1325,canadian contemporary r&b
1325,chill r&b
1325,pop
1326,touhou
1327,touhou
1328,indie canario
1329,touhou
1330,dance pop
1330,electropop
1330,pop
1330,post-teen pop
1331,touhou
1332,
1333,touhou
1334,
1335,dance pop
1335,edm
1335,pop
1335,pop dance
1335,tropical house
1335,uk dance
1335,uk funky
1336,dance pop
1336,electropop
1336,pop
1336,post-teen pop
1337,touhou
1338,touhou
1339,touhou
1340,touhou
1341,touhou
1342,japanese vgm
1342,touhou
1343,touhou
1344,canadian pop
1344,candy pop
1344,dance pop
1344,pop
1344,post-teen pop
1345,canadian pop
1345,candy pop
1345,dance pop
1345,pop
1345,post-teen pop
1346,touhou
1347,touhou
1348,touhou
1349,japanese vgm
1349,touhou
1350,japanese vgm
1350,touhou
1351,touhou
1352,japanese vgm
1352,touhou
1353,k-pop
1353,korean ost
1354,dutch hip hop
1354,tropical house
1355,indonesian viral pop
1356,alternative dance
1356,art pop
1356,dance pop
1356,electronica
1356,electropop
1356,neo-synthpop
1356,new rave
1357,contemporary country
1357,country
1357,country road
1357,modern country rock
1358,glam rock
1358,mellow gold
1358,piano rock
1359,dance pop
1359,electropop
1359,pop
1359,post-teen pop
1360,dance pop
1360,edm
1360,electro house
1360,moombahton
1360,pop
1360,pop dance
1360,pop rap
1360,tropical house
1361,modern alternative rock
1361,modern rock
1361,pop
1362,touhou
1363,touhou
1364,
1365,touhou
1366,
1367,
1368,
1369,
1370,
1371,
1372,japanese vgm
1372,touhou
1373,alternative r&b
1373,canadian contemporary r&b
1373,chill r&b
1373,pop
1374,touhou
1375,
1376,touhou
1377,touhou
1378,touhou
1379,touhou
1380,denpa-kei
1380,doujin
1380,touhou
1381,touhou
1382,touhou
1383,indie canario
1384,japanese vgm
1384,touhou
1385,canadian pop
1385,candy pop
1385,dance pop
1385,pop
1385,post-teen pop
1386,touhou
1387,touhou
1388,denpa-kei
1388,doujin
1388,touhou
1389,indie canario
1390,touhou
1391,japanese vgm
1391,touhou
1392,touhou
1393,japanese vgm
1393,touhou
1394,chinese electropop
1394,chinese idol pop
1394,k-pop
1395,chinese electropop
1395,chinese idol pop
1395,k-pop
1396,japanese vgm
1396,touhou
1397,chinese electropop
1397,chinese idol pop
1397,k-pop
1398,touhou
1399,indie canario
1400,touhou
1401,touhou
1402,touhou
1403,
1404,
1405,touhou
1406,touhou
1407,touhou
1408,indie canario
1409,touhou
1410,touhou
1411,touhou
1412,touhou
1413,japanese vgm
1413,touhou
1414,japanese vgm
1414,touhou
1415,touhou
1416,touhou
1417,
1418,touhou
1419,denpa-kei
1419,doujin
1419,touhou
1420,touhou
1421,japanese vgm
1421,touhou
1422,japanese vgm
1422,touhou
1423,chinese electropop
1423,chinese idol pop
1423,k-pop
1424,touhou
1425,k-pop
1425,k-pop girl group
1426,touhou
1427,touhou
1428,touhou
1429,touhou
1430,touhou
1431,touhou
1432,touhou
1433,touhou
1434,touhou
1435,touhou
1436,touhou
1437,touhou
1438,touhou
1439,touhou
1440,touhou
1441,touhou
1442,touhou
1443,touhou
1444,touhou
1445,touhou
1446,touhou
1447,touhou
1448,touhou
1449,touhou
1450,touhou
1451,touhou
1452,touhou
1453,touhou
1454,touhou
1455,touhou
1456,touhou
1457,touhou
1458,touhou
1459,touhou
1460,touhou
1461,touhou
1462,touhou
1463,touhou
1464,touhou
1465,touhou
1466,touhou
1467,avant-garde metal
1467,breakcore
1467,cybergrind
1467,french metal
1467,opera metal
1468,touhou
1469,touhou
1470,touhou
1471,touhou
1472,touhou
1473,touhou
1474,touhou
1475,touhou
1476,touhou
1477,touhou
1478,touhou
1479,touhou
1480,touhou
1481,touhou
1482,touhou
1483,touhou
1484,touhou
1485,touhou
1486,australian hip hop
1487,australian hip hop
1488,cali rap
1488,pop rap
1489,
1490,
1491,album rock
1491,australian rock
1491,classic rock
1491,heartland rock
1491,mellow gold
1491,new wave pop
1491,soft rock
1491,yacht rock
1492,k-pop
1492,korean ost
1493,otacore
1494,k-pop girl group
1495,album rock
1495,australian rock
1495,classic rock
1495,heartland rock
1495,mellow gold
1495,new wave pop
1495,soft rock
1495,yacht rock
1496,dance pop
1496,k-pop
1496,k-pop girl group
1497,classical piano
1497,french classical piano
1497,soundtrack
1498,k-pop
1499,dfw rap
1500,album rock
1500,australian rock
1500,classic rock
1500,heartland rock
1500,mellow gold
1500,new wave pop
1500,soft rock
1500,yacht rock
1501,downtempo
1501,electronica
1501,float house
1501,future garage
1501,intelligent dance music
1501,lo-fi house
1501,microhouse
1501,ninja
1501,uk bass
1501,wonky
1502,canadian old school hip hop
1502,pop rap
1502,toronto rap
1503,k-pop
1504,k-pop
1505,chinese electropop
1505,chinese idol pop
1505,k-pop
1506,alternative r&b
1506,canadian contemporary r&b
1506,chill r&b
1506,pop
1507,indie canario
1508,touhou
1509,
1510,denpa-kei
1510,doujin
1510,touhou
1511,touhou
1512,japanese vgm
1512,touhou
1513,japanese vgm
1513,touhou
1514,touhou
1515,touhou
1516,touhou
1517,touhou
1518,touhou
1519,touhou
1520,indie canario
1521,touhou
1522,touhou
1523,touhou
1524,touhou
1525,touhou
1526,canadian pop
1526,candy pop
1526,dance pop
1526,pop
1526,post-teen pop
1527,australian hip hop
1528,australian hip hop
1529,touhou
1530,touhou
1531,touhou
1532,touhou
1533,touhou
1534,touhou
1535,touhou
1536,touhou
1537,touhou
1538,touhou
1539,touhou
1540,touhou
1541,touhou
1542,touhou
1543,touhou
1544,touhou
1545,touhou
1546,touhou
1547,denpa-kei
1547,doujin
1547,touhou
1548,touhou
1549,alternative metal
1549,nu metal
1549,post-grunge
1549,rap metal
1550,alternative rock
1550,indie pop
1550,indie rock
1550,la indie
1550,modern rock
1550,pop rock
1550,rock
1551,touhou
1552,touhou
1553,touhou
1554,touhou
1555,touhou
1556,touhou
1557,touhou
1558,touhou
1559,touhou
1560,touhou
1561,
1562,
1563,avant-garde metal
1563,breakcore
1563,cybergrind
1563,french metal
1563,opera metal
1564,avant-garde metal
1564,breakcore
1564,cybergrind
1564,french metal
1564,opera metal
1565,
1566,
1567,australian hip hop
1568,cali rap
1568,pop rap
1569,deep new americana
1569,indie folk
1569,modern folk rock
1569,modern rock
1569,new americana
1569,rock
1569,stomp and holler
1570,touhou
1571,k-pop
1571,k-pop girl group
1572,k-pop
1572,k-pop boy group
1573,junior eurovision
1573,variete francaise
1574,k-pop
1574,k-pop boy group
1575,comedy rap
1575,comic
1575,meme rap
1576,comedy rap
1576,comic
1576,meme rap
1577,comedy rap
1577,comic
1577,meme rap
1578,comedy rap
1578,comic
1578,meme rap
1579,comedy rap
1579,comic
1579,meme rap
1580,comedy rap
1580,comic
1580,meme rap
1581,touhou
1582,indie canario
1583,touhou
1584,japanese vgm
1584,touhou
1585,touhou
1586,touhou
1587,touhou
1588,touhou
1589,latin
1589,latin hip hop
1589,reggaeton
1589,reggaeton flow
1589,trap latino
1590,touhou
1591,indie canario
1592,touhou
1593,touhou
1594,touhou
1595,latin
1595,latin hip hop
1595,reggaeton
1595,reggaeton flow
1595,trap latino
1596,touhou
1597,touhou
1598,touhou
1599,touhou
1600,touhou
1601,touhou
1602,touhou
1603,touhou
1604,touhou
1605,touhou
1606,k-pop
1606,k-pop boy group
1607,k-pop
1607,k-pop girl group
1608,otacore
1609,k-pop
1610,k-pop
1610,k-pop girl group
1611,k-pop
1611,k-pop girl group
1612,deep groove house
1612,deep tropical house
1612,edm
1612,electro house
1612,house
1612,new french touch
1612,pop dance
1612,pop edm
1612,tropical house
1612,uk dance
1613,pop rap
1613,seattle hip hop
1614,modern alternative rock
1614,modern rock
1614,pop
1615,k-pop
1615,k-pop boy group
1616,metropopolis
1616,modern rock
1616,pop
1616,pop rock
1616,tropical house
1617,deep groove house
1617,deep tropical house
1617,edm
1617,electro house
1617,house
1617,new french touch
1617,pop dance
1617,pop edm
1617,tropical house
1617,uk dance
1618,touhou
1619,pop
1619,uk pop
1620,modern rock
1621,pop rap
1621,seattle hip hop
1622,dance pop
1622,edm
1622,pop
1622,pop dance
1622,tropical house
1622,uk dance
1622,uk funky
1623,dance pop
1623,edm
1623,electro house
1623,pop
1623,pop dance
1623,tropical house
1624,pop
1624,uk pop
1625,modern rock
1626,
1627,touhou
1628,australian hip hop
1629,touhou
1630,touhou
1631,denpa-kei
1631,doujin
1631,touhou
1632,touhou
1633,touhou
1634,
1635,touhou
1636,touhou
1637,touhou
1638,touhou
1639,indie canario
1640,canadian pop
1640,candy pop
1640,dance pop
1640,pop
1640,post-teen pop
1641,touhou
1642,chicago rap
1642,melodic rap
1643,touhou
1644,japanese vgm
1644,touhou
1645,touhou
1646,touhou
1647,touhou
1648,touhou
1649,touhou
1650,alternative metal
1650,nu metal
1650,post-grunge
1650,rap rock
1650,rock
1651,touhou
1652,touhou
1653,touhou
1654,touhou
1655,touhou
1656,deep new americana
1656,indie folk
1656,modern folk rock
1656,modern rock
1656,new americana
1656,rock
1656,stomp and holler
1657,touhou
1658,touhou
1659,touhou
1660,touhou
1661,touhou
1662,dance pop
1662,hip hop
1662,pop rap
1662,rap
1662,southern hip hop
1662,trap
1663,touhou
1664,touhou
1665,japanese vgm
1665,touhou
1666,touhou
1667,indie canario
1668,touhou
1669,touhou
1670,k-pop
1670,k-pop girl group
1671,k-pop
1672,k-pop
1672,k-pop girl group
1673,otacore
1674,k-pop
1674,k-pop boy group
1675,k-pop
1675,korean ost
1676,k-pop
1677,junior eurovision
1677,variete francaise
1678,glitch hop
1678,livetronica
1679,hip hop
1679,pop
1679,portland hip hop
1679,rap
1679,underground hip hop
1680,permanent wave
1680,pop
1681,junior eurovision
1681,variete francaise
1682,j-rap
1682,japanese r&b
1683,j-rap
1683,japanese r&b
1684,j-rap
1685,japanese r&b
1685,japanese soul
1686,bass music
1686,breakbeat
1686,brostep
1686,edm
1686,electro house
1686,electronic trap
1686,glitch hop
1687,permanent wave
1687,pop
1688,city pop
1688,j-rap
1688,japanese r&b
1689,mexican hip hop
1689,trap mexicano
1690,k-indie
1691,j-rap
1691,japanese r&b
1692,j-rap
1692,japanese r&b
1692,japanese trap
1693,hip hop
1693,pop
1693,portland hip hop
1693,rap
1693,underground hip hop
1694,hip hop
1694,pop
1694,portland hip hop
1694,rap
1694,underground hip hop
1695,j-rap
1695,japanese r&b
1696,australian hip hop
1697,modern alternative rock
1697,modern rock
1697,pop
1698,touhou
1699,chinese electropop
1699,chinese idol pop
1699,k-pop
1700,k-pop
1700,k-pop boy group
1701,touhou
1702,japanese vgm
1702,touhou
1703,touhou
1704,touhou
1705,touhou
1706,chinese electropop
1706,chinese idol pop
1706,k-pop
1707,japanese vgm
1707,touhou
1708,touhou
1709,latin
1709,latin hip hop
1709,reggaeton
1709,reggaeton flow
1709,trap latino
1710,touhou
1711,touhou
1712,pop rap
1712,seattle hip hop
1713,touhou
1714,deep new americana
1714,indie folk
1714,modern folk rock
1714,modern rock
1714,new americana
1714,rock
1714,stomp and holler
1715,rebel blues
1716,k-pop
1716,k-pop boy group
1717,modern alternative rock
1717,modern rock
1717,rock
1718,modern alternative rock
1718,rebel blues
1719,rebel blues
1720,rebel blues
1721,rebel blues
1722,modern alternative rock
1722,rebel blues
1723,modern alternative rock
1723,rebel blues
1724,modern alternative rock
1724,rebel blues
1725,modern alternative rock
1725,rebel blues
1726,modern alternative rock
1726,rebel blues
1727,
1728,modern alternative rock
1728,rebel blues
1729,modern alternative rock
1729,rebel blues
1730,metropopolis
1730,modern rock
1730,pop
1730,pop rock
1730,tropical house
1731,touhou
1732,junior eurovision
1732,variete francaise
1733,touhou
1734,alt z
1734,indie poptimism
1734,modern alternative rock
1734,modern rock
1735,alt z
1735,indie poptimism
1735,modern alternative rock
1735,modern rock
1736,alt z
1736,indie poptimism
1736,modern alternative rock
1736,modern rock
1737,alt z
1737,indie poptimism
1737,modern alternative rock
1737,modern rock
1738,touhou
1739,
1740,dfw rap
1740,melodic rap
1740,rap
1741,pop rap
1741,seattle hip hop
1742,pop rap
1742,seattle hip hop
1743,modern alternative rock
1743,rebel blues
1744,emo
1744,modern rock
1744,rock
1745,korean ost
1746,korean ost
1747,edm
1747,electro house
1747,pop dance
1747,pop edm
1747,progressive electro house
1747,tropical house
1748,
1749,deep new americana
1749,indie folk
1749,modern folk rock
1749,modern rock
1749,new americana
1749,rock
1749,stomp and holler
1750,modern southern rock
1750,texas country
1751,dance pop
1751,edm
1751,pop
1751,pop dance
1751,tropical house
1751,uk dance
1751,uk funky
1752,indonesian viral pop
1753,dance pop
1753,dutch edm
1753,edm
1753,electro house
1753,pop
1753,pop dance
1753,progressive house
1753,tropical house
1754,dance pop
1754,electropop
1754,pop
1754,post-teen pop
1755,dfw rap
1755,melodic rap
1755,rap
1756,destroy techno
1756,edm
1756,electro house
1756,house
1756,pop dance
1756,progressive house
1756,tropical house
1757,modern alternative rock
1757,modern rock
1757,pop
1758,contemporary country
1758,country
1758,country road
1758,modern country rock
1759,dance pop
1759,pop
1760,deep new americana
1760,indie folk
1760,modern folk rock
1760,modern rock
1760,new americana
1760,rock
1760,stomp and holler
1761,deep new americana
1761,indie folk
1761,modern folk rock
1761,modern rock
1761,new americana
1761,rock
1761,stomp and holler
1762,dance pop
1762,girl group
1762,pop
1762,post-teen pop
1762,talent show
1762,uk pop
1763,dance pop
1763,girl group
1763,pop
1763,post-teen pop
1763,talent show
1763,uk pop
1764,edm
1765,dance pop
1766,art pop
1766,candy pop
1766,dance pop
1766,electropop
1766,hyperpop
1766,metropopolis
1766,pop
1766,post-teen pop
1766,uk pop
1767,dance pop
1767,girl group
1767,pop
1767,post-teen pop
1767,talent show
1767,uk pop
1768,boy band
1768,pop
1768,post-teen pop
1768,talent show
1769,dance pop
1769,electropop
1769,pop
1769,post-teen pop
1769,social media pop
1769,talent show
1769,viral pop
1770,k-pop
1770,k-pop boy group
1771,dance pop
1771,pop
1771,post-teen pop
1772,k-pop
1773,pop
1774,dance pop
1774,girl group
1774,pop
1774,post-teen pop
1774,talent show
1774,uk pop
1775,dance pop
1775,pop
1775,pop dance
1775,post-teen pop
1775,tropical house
1775,uk pop
1776,dance pop
1776,girl group
1776,pop
1776,post-teen pop
1776,talent show
1776,uk pop
1777,dance pop
1777,girl group
1777,pop
1777,post-teen pop
1777,talent show
1777,uk pop
1778,
1779,emo
1779,modern rock
1779,rock
1780,edm
1780,electro house
1780,pop dance
1780,pop edm
1780,progressive electro house
1780,tropical house
1781,modern southern rock
1781,texas country
1782,junior eurovision
1782,variete francaise
1783,korean ost
1784,korean ost
1785,junior eurovision
1785,variete francaise
1786,pop rap
1786,seattle hip hop
1787,modern alternative rock
1787,rebel blues
1788,pop rap
1788,seattle hip hop
1789,touhou
1790,touhou
1791,australian hip hop
1792,australian hip hop
1793,australian hip hop
1794,australian hip hop
1795,australian hip hop
1796,australian hip hop
1797,australian hip hop
1798,touhou
1799,japanese vgm
1799,touhou
1800,alternative r&b
1800,canadian contemporary r&b
1800,chill r&b
1800,pop
1801,touhou
1802,touhou
1803,indie canario
1804,touhou
1805,japanese vgm
1805,touhou
1806,touhou
1807,touhou
1808,canadian pop
1808,candy pop
1808,dance pop
1808,pop
1808,post-teen pop
1809,indie canario
1810,touhou
1811,japanese vgm
1811,touhou
1812,touhou
1813,touhou
1814,
1815,chinese electropop
1815,chinese idol pop
1815,k-pop
1816,touhou
1817,touhou
1818,touhou
1819,denpa-kei
1819,doujin
1819,touhou
1820,touhou
1821,touhou
1822,japanese vgm
1822,touhou
1823,touhou
1824,alternative r&b
1824,canadian contemporary r&b
1824,chill r&b
1824,pop
1825,touhou
1826,touhou
1827,
1828,neo mellow
1828,piano rock
1828,pop
1828,pop rock
1829,
1830,chinese electropop
1830,chinese idol pop
1830,k-pop
1831,touhou
1832,denpa-kei
1832,doujin
1832,touhou
1833,japanese vgm
1833,touhou
1834,touhou
1835,touhou
1836,touhou
1837,japanese vgm
1837,touhou
1838,touhou
1839,touhou
1840,touhou
1841,touhou
1842,touhou
1843,touhou
1844,touhou
