,endTime,artistName,trackName,msPlayed,minsPlayed
76,2021-08-22 02:51,Maroon 5,Payphone,1650,0.0275
77,2021-08-22 02:51,SHINee,View,1070,0.017833333333333333
78,2021-08-22 02:51,Taylor Swift,The Lucky One,0,0.0
79,2021-08-22 02:51,Britney Spears,Work Bitch,1070,0.017833333333333333
80,2021-08-22 02:51,Anne-Marie,2002,0,0.0
81,2021-08-22 02:51,EXO-K,Overdose,140,0.0023333333333333335
82,2021-08-22 02:51,EXO,CALL ME BABY,30,0.0005
83,2021-08-22 02:51,Beyoncé,Countdown,4479,0.07465
84,2021-08-22 02:55,Little Mix,Move,224333,3.7388833333333333
85,2021-08-22 02:58,Daya,"Sit Still, Look Pretty",202221,3.37035
86,2021-08-22 03:02,American Authors,Best Day Of My Life,194240,3.2373333333333334
87,2021-08-22 03:04,Taylor Swift,Enchanted,870,0.0145
88,2021-08-22 03:04,EXO,Growl,1040,0.017333333333333333
89,2021-08-22 03:04,One Direction,History,1080,0.018
90,2021-08-22 03:04,Fifth Harmony,Worth It (feat. Kid Ink),150215,2.5035833333333333
91,2021-08-22 03:05,Troye Sivan,Happy Little Pill,63950,1.0658333333333334
92,2021-08-22 06:47,Troye Sivan,Happy Little Pill,232215,3.87025
93,2021-08-22 06:49,Little Mix,Black Magic,550,0.009166666666666667
94,2021-08-22 06:49,Beyoncé,Partition,119527,1.9921166666666668
95,2021-08-22 06:52,Nicki Minaj,Pound The Alarm,205640,3.4273333333333333
96,2021-08-22 06:53,Little Mix,Hair (feat. Sean Paul),0,0.0
97,2021-08-22 06:53,Ed Sheeran,Thinking out Loud,462,0.0077
98,2021-08-22 06:53,Ed Sheeran,Thinking out Loud,0,0.0
99,2021-08-22 06:53,Aimer,Brave Shine,479,0.007983333333333334
100,2021-08-22 06:53,Demi Lovato,Really Don't Care,23,0.00038333333333333334
101,2021-08-22 06:53,Rita Ora,I Will Never Let You Down,50068,0.8344666666666667
